n,sqad,oqad
2,1.772403,1.772881
3,1.350627,0.97883
4,1.376207,0.920456
5,1.188089,0.819444
6,1.177267,0.81101
7,1.128919,0.779198
8,1.124809,0.782825
9,1.092031,0.759982
10,1.094338,0.753541
11,1.076449,0.738846
12,1.073819,0.736528
13,1.062999,0.72825
14,1.063736,0.728399
15,1.053328,0.724077
16,1.053733,0.723385
17,1.048212,0.717031
18,1.046779,0.715528
19,1.041898,0.711338
20,1.042908,0.71099
21,1.037659,0.708337
22,1.037557,0.70884
23,1.035098,0.706778
24,1.03429,0.705612
25,1.031373,0.702966
26,1.031953,0.702421
27,1.029208,0.700575
28,1.028974,0.700619
29,1.027243,0.699473
30,1.027096,0.699807
31,1.025075,0.697919
32,1.02535,0.697371
33,1.023849,0.695959
34,1.023499,0.695771
35,1.022331,0.694852
36,1.022396,0.694931
37,1.020987,0.694364
38,1.021007,0.694044
39,1.020084,0.692871
40,1.019902,0.692652
41,1.018871,0.691825
42,1.019199,0.691777
43,1.018003,0.691258
44,1.017985,0.691421
45,1.017407,0.690744
46,1.017242,0.690419
47,1.016467,0.689716
48,1.01658,0.689559
49,1.015793,0.689067
50,1.015779,0.689153
51,1.015222,0.688834
52,1.015236,0.688749
53,1.014561,0.688171
54,1.014614,0.687977
55,1.014103,0.687513
56,1.014014,0.68748
57,1.0135,0.687131
58,1.013665,0.687202
59,1.013035,0.68697
60,1.013119,0.686779
61,1.012743,0.686317
62,1.012589,0.686225
63,1.012273,0.685912
64,1.012379,0.685905
65,1.01185,0.685684
66,1.011884,0.685806
67,1.011542,0.685378
68,1.01147,0.685265
69,1.011126,0.68496
70,1.01122,0.684907
71,1.010846,0.684693
72,1.010817,0.684708
73,1.010575,0.68455
74,1.01055,0.684502
75,1.010238,0.684181
76,1.010263,0.68414
77,1.01004,0.683897
78,1.009971,0.683871
79,1.009733,0.683719
80,1.009732,0.683764
81,1.009476,0.683551
82,1.009501,0.683447
83,1.009301,0.683253
84,1.009249,0.683192
85,1.009035,0.683067
86,1.009069,0.683025
87,1.008868,0.682903
88,1.008824,0.682951
89,1.008642,0.682699
90,1.008619,0.682659
91,1.008417,0.682496
92,1.008449,0.682455
93,1.008234,0.682335
94,1.008224,0.682345
95,1.008097,0.682276
96,1.008098,0.6822
97,1.007905,0.682043
98,1.007899,0.681988
99,1.007793,0.681874
100,1.007748,0.681874
109,1.006997,0.681293
110,1.007016,0.681272
119,1.006438,0.680665
120,1.006452,0.680647
129,1.005903,0.680236
130,1.005961,0.68023
139,1.005544,0.679886
140,1.005531,0.679843
149,1.005136,0.679486
150,1.005153,0.679477
159,1.004841,0.679183
160,1.00478,0.679214
169,1.004521,0.678934
170,1.004553,0.678918
179,1.004277,0.678689
180,1.00427,0.678683
189,1.004041,0.678501
190,1.004064,0.678466
199,1.00382,0.678275
200,1.003833,0.678277
249,1.003062,0.677572
250,1.003058,0.677567
299,1.002557,0.677112
300,1.00256,0.677101
349,1.00218,0.676765
350,1.002193,0.676764
399,1.001926,0.676517
400,1.001922,0.676517
449,1.001696,0.676312
450,1.001695,0.676301
499,1.001529,0.676152
500,1.001521,0.676152
600,1.001259,0.675912
700,1.0011,0.67574
800,1.00095,0.67562
900,1.000839,0.675519
1000,1.000763,0.675438
1500,1.000508,0.675207
2000,1.000379,0.675084
2500,1.000299,0.675012
3000,1.000257,0.674968
3500,1.00022,0.674935
4000,1.000187,0.674911
4500,1.000166,0.674886
5000,1.00015,0.674873
6000,1.00013,0.67485
7000,1.00011,0.674833
8000,1.000093,0.674819
9000,1.000083,0.674811
10000,1.000078,0.674802
