n,bias.sd,bias.mad,bias.sqad,bias.oqad,svar.sd,svar.mad,svar.sqad,svar.oqad,eff.mad,eff.sqad,eff.oqad
2,1.000108,1.000134,1.00008,1.000349,1.142414,1.142414,1.142414,1.142414,1,1,1
3,0.999727,0.999452,0.99986,0.999863,0.820023,2.04768,0.882435,0.835888,0.400464,0.929272,0.981019
4,0.999796,0.999882,0.999882,0.999687,0.712528,1.307264,1.159428,0.731847,0.545053,0.614552,0.973603
5,0.999977,1.000055,0.999971,1.000038,0.658937,1.707603,1.014038,0.709697,0.385884,0.649815,0.928476
6,0.999946,0.999941,0.999942,1.000045,0.626726,1.352718,0.92647,0.703664,0.463309,0.676467,0.890662
7,1.000177,1.000065,1.000013,1.000147,0.605332,1.59657,1.029758,0.74715,0.379145,0.587839,0.810188
8,0.999995,1.000014,1.000049,1.000101,0.590342,1.361584,0.984851,0.81564,0.43357,0.599423,0.723778
9,1.000041,0.99984,0.999994,1.000031,0.578566,1.538845,0.93381,0.799087,0.375974,0.619576,0.724034
10,1.000076,1.000092,1.000082,0.999994,0.570024,1.363711,0.976733,0.753124,0.417994,0.583603,0.756879
11,0.99999,0.999974,1.000046,0.99997,0.562753,1.504198,0.979469,0.731038,0.374122,0.574549,0.769799
12,1.000033,0.999962,0.999987,1.000131,0.557069,1.364704,0.928401,0.715722,0.408198,0.60003,0.778332
13,1.000041,1.000009,1.000006,1.000102,0.552469,1.481841,0.957379,0.722816,0.372826,0.577064,0.764329
14,1.000019,1.000002,1.000025,0.999999,0.548504,1.365037,0.973697,0.739734,0.401824,0.563321,0.741489
15,0.999956,0.99991,0.999945,0.999976,0.545331,1.464785,0.931586,0.779423,0.372294,0.585379,0.699659
16,0.999982,1.000068,1.000061,1.000034,0.541852,1.364079,0.941068,0.781164,0.39723,0.575785,0.693648
17,0.999998,1.000098,1.000042,0.999997,0.53906,1.450749,0.97477,0.755453,0.371574,0.553013,0.713559
18,1.000042,1.000112,0.999997,1.000074,0.537234,1.364193,0.930539,0.736775,0.393811,0.577337,0.72917
19,0.999933,0.999871,0.999933,0.999929,0.534708,1.441076,0.936102,0.72927,0.371048,0.571207,0.73321
20,0.99993,0.999855,0.999901,0.999994,0.532741,1.364088,0.973804,0.729193,0.390548,0.547072,0.73059
21,1.000012,0.999993,1.00002,0.999933,0.531912,1.432979,0.934208,0.743227,0.371193,0.569372,0.715679
22,1.000067,0.999948,1.000023,1.000115,0.529647,1.363549,0.929715,0.764983,0.388433,0.569687,0.692364
23,0.999965,1.000011,1,1.00002,0.52881,1.427271,0.969309,0.782,0.370504,0.545553,0.676227
24,1.000007,1.000102,1.000047,1.000047,0.527434,1.36384,0.934374,0.758802,0.386727,0.564478,0.695087
25,0.999959,0.999958,1.000003,0.999985,0.525677,1.420509,0.927876,0.743923,0.370063,0.566538,0.706629
26,0.999968,0.999917,1.000049,0.999959,0.52519,1.364699,0.956109,0.736205,0.384839,0.5493,0.713375
27,0.999998,0.999956,1.000047,0.999942,0.524211,1.417842,0.93785,0.736546,0.369725,0.55895,0.711716
28,0.999904,0.999932,0.999915,0.999968,0.52344,1.364782,0.926713,0.743826,0.383534,0.564835,0.703713
29,1.000028,1.000149,0.999994,1.000048,0.522265,1.411715,0.947454,0.761147,0.369951,0.55123,0.686155
30,1.000071,1.000222,1.000037,1.00006,0.521523,1.364198,0.938927,0.780398,0.382293,0.555446,0.668278
31,1.000015,1.000206,1.000029,1.000123,0.520842,1.409677,0.925975,0.762852,0.369476,0.56248,0.682756
32,0.999995,1.000239,0.999973,1.000035,0.520493,1.363016,0.940137,0.749404,0.381868,0.553635,0.694542
33,1.00003,1.000303,1.000086,1.000016,0.519693,1.406009,0.942415,0.74262,0.369623,0.551449,0.699811
34,1.000079,1.000344,1.000034,1.000061,0.518793,1.362727,0.925208,0.740352,0.380702,0.560732,0.700739
35,1.000019,1.000304,0.999985,0.999996,0.518463,1.403056,0.935353,0.746882,0.369524,0.554296,0.694169
36,0.999997,1.000234,0.999907,0.999918,0.517812,1.362656,0.943853,0.757302,0.380002,0.548616,0.683759
37,0.999958,1.000197,0.999945,0.999964,0.517249,1.400803,0.926256,0.776368,0.369252,0.558429,0.666241
38,1.00006,1.000389,1.000044,1.000137,0.517021,1.363528,0.931415,0.765398,0.379179,0.555091,0.675493
39,1.000016,1.000302,0.999967,0.999939,0.516404,1.398655,0.947124,0.753442,0.369214,0.545233,0.685393
40,1.000013,1.000251,1.000047,1.000065,0.515986,1.36305,0.927447,0.745746,0.378552,0.556351,0.691906
41,1.000031,1.000364,0.999945,0.999985,0.51573,1.397104,0.928792,0.744344,0.369142,0.555269,0.692865
42,1.000031,1.000352,0.999984,0.999963,0.514992,1.362684,0.949485,0.747065,0.377925,0.542391,0.689354
43,1.00002,1.000214,0.999997,1.000015,0.514582,1.394496,0.928891,0.756412,0.369009,0.553975,0.680294
44,1.000063,1.000298,1.000024,1.000099,0.51468,1.363259,0.926989,0.770467,0.377536,0.555216,0.66801
45,0.999998,1.000335,1.000031,1.000036,0.51433,1.394439,0.945199,0.768792,0.368844,0.54415,0.669011
46,0.999968,1.000302,0.999984,0.999946,0.513866,1.363441,0.930895,0.756547,0.376889,0.552013,0.679225
47,0.999955,1.000372,0.999994,0.999964,0.51359,1.392337,0.926042,0.749595,0.368869,0.554607,0.685157
48,1.00003,1.000425,1.000029,0.999988,0.513184,1.36281,0.940086,0.746583,0.376563,0.54589,0.687377
49,1.000027,1.00036,1.00005,0.999999,0.512934,1.390675,0.93186,0.748897,0.368838,0.550442,0.68492
50,1.000021,1.000326,1.000028,1.000063,0.51292,1.362516,0.925767,0.755412,0.376451,0.554049,0.678994
